parcl_property_id,event_type,event_name,event_date,price,address,city,county_name,BG_ID,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built,price_sf
469283143,SALE,SOLD,2023-12-20,295900.0,334 HARVEST CHURCH RD,,Habersham,131370002041,34.629805,-83.605136,Single family,4.0,3.0,2302.0,2023.0,128.5403996524761
456432899,SALE,SOLD,2024-09-06,319900.0,506 HARVEST CHURCH RD,,Habersham,131370002041,34.634014,-83.603929,Single family,4.0,3.0,1806.0,2024.0,177.13178294573643
455703237,SALE,SOLD,2024-09-26,328000.0,314 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.505985,-83.551865,Single family,4.0,3.5,2121.0,2024.0,154.64403583215466
455411037,SALE,SOLD,2024-05-02,315900.0,3019 STATE HIGHWAY 17,,Habersham,131370002041,34.628437,-83.60116,Single family,4.0,3.5,1571.0,2024.0,201.08211330362826
452645431,SALE,SOLD,2023-12-27,48000.0,135 MOUNTAIN RIDGE DR,,Habersham,131370002033,34.696014,-83.511345,Single family,2.0,2.0,2948.0,2022.0,16.28222523744912
451624356,SALE,SOLD,2024-09-03,329115.0,725 PATHWAY CIR,Cornelia City,Habersham,131370006041,34.506153,-83.55391,Single family,4.0,5.0,2121.0,2024.0,155.16973125884016
434465095,SALE,SOLD,2024-08-06,374500.0,15664 HIGHWAY 197 N,,Habersham,131370002032,34.789597,-83.575676,Single family,2.0,1.0,824.0,2023.0,454.49029126213594
434457591,SALE,SOLD,2024-10-14,515000.0,15662 HIGHWAY 197 N,,Habersham,131370002032,34.7872212,-83.5770152,Single family,2.0,2.0,1283.0,2023.0,401.40296180826186
433510852,SALE,SOLD,2024-05-22,315900.0,3009 HIGHWAY 17,Clarkesville City,Habersham,131370003002,34.607401,-83.506299,Single family,3.0,2.0,1503.0,2024.0,210.17964071856287
274893196,SALE,SOLD,2024-04-18,315900.0,486 HARVEST CHURCH RD,,Habersham,131370002041,34.6312802,-83.6048909,Single family,3.0,2.0,1604.0,2024.0,196.94513715710724
213169427,SALE,SOLD,2024-01-26,340000.0,304 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.505854,-83.552426,Single family,4.0,3.5,2100.0,2023.0,161.9047619047619
205274640,SALE,SOLD,2023-11-30,304900.0,814 BLOSSOM LN,Cornelia City,Habersham,131370006041,34.50662,-83.552216,Single family,3.0,2.0,1500.0,2023.0,203.26666666666668
199064405,SALE,SOLD,2022-11-29,450000.0,145 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.504953,-83.556593,Single family,4.0,3.0,2307.0,2023.0,195.05851755526658
198682482,SALE,SOLD,2023-08-16,337500.0,243 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.504861,-83.554471,Single family,4.0,2.5,2131.0,2023.0,158.37634913186298
198412410,SALE,SOLD,2024-06-14,572500.0,375 SPRING FIELD DR,,Habersham,131370002034,34.651866,-83.536263,Single family,3.0,2.0,2180.0,2023.0,262.61467889908255
197986140,SALE,SOLD,2022-11-30,294830.0,167 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.504337,-83.557365,Single family,4.0,2.0,1830.0,2022.0,161.10928961748633
197833679,SALE,SOLD,2024-01-31,664900.0,220 NORTHERN SPY,,Habersham,131370002033,34.69257,-83.462,Single family,4.0,3.5,3150.0,2023.0,211.0793650793651
197833679,SALE,SOLD,2023-10-30,660000.0,220 NORTHERN SPY,,Habersham,131370002033,34.69257,-83.462,Single family,4.0,3.5,3150.0,2023.0,209.52380952380952
197833679,SALE,SOLD,2023-10-20,660000.0,220 NORTHERN SPY,,Habersham,131370002033,34.69257,-83.462,Single family,4.0,3.5,3150.0,2023.0,209.52380952380952
