parcl_property_id,address,city,county_name,BG_ID,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built
67722781,144 LEGACY CIR,Demorest City,Habersham,131370005023,34.553614,-83.54479,Single family,3.0,0.0,2112.0,2001.0
133969203,306 ABBINGTON WAY,,Habersham,131370003002,34.620279,-83.487803,Single family,4.0,3.5,2928.0,2005.0
95995962,355 SUNRISE CIR,Cornelia City,Habersham,131370004002,34.510805,-83.512005,Single family,5.0,3.0,2688.0,1970.0
96516891,194 TIMBER RIDGE DR,,Habersham,131370002041,34.619174,-83.561272,Single family,3.0,2.0,1918.0,2006.0
87833019,268 CIRCLE DR,Clarkesville City,Habersham,131370003002,34.614082,-83.515791,Single family,3.0,2.0,1776.0,1974.0
82615239,1121 HEADS FERRY RD,,Habersham,131370006031,34.512625,-83.651211,Single family,3.0,2.0,1290.0,2003.0
76764229,296 COWART RD,,Habersham,131370002031,34.711285,-83.614516,Single family,2.0,2.0,1148.0,1992.0
96586181,215 PARKER ST,Baldwin City,Habersham,131370006042,34.487853,-83.545708,Single family,3.0,2.0,1320.0,1971.0
197837117,230 CLARKESVILLE HEIGHTS DR,,Habersham,131370002034,34.637394,-83.53512,Single family,3.0,2.0,1800.0,2022.0
90152177,199 LAKEVIEW DR,Cornelia City,Habersham,131370005012,34.523571,-83.525653,Single family,3.0,2.0,1248.0,1973.0
96955729,4432 HIGHWAY 115,,Habersham,131370002011,34.606893,-83.570773,Single family,3.0,2.0,1947.0,1966.0
97157076,1117 CAMP CREEK RD,,Habersham,131370005011,34.532939,-83.514875,Single family,3.0,2.0,2341.0,1957.0
75402494,255 LOWER POND CT,,Habersham,131370002041,34.631186,-83.596915,Single family,3.0,3.0,2430.0,1996.0
89702607,4101 HIGHWAY 17,,Habersham,131370002041,34.633597,-83.617139,Single family,2.0,2.0,1008.0,1998.0
88152717,600 SINGING HILLS DR,,Habersham,131370002011,34.610552,-83.553739,Single family,5.0,5.0,4439.0,1990.0
76836150,413 LEVEL GROVE RD,Cornelia City,Habersham,131370006044,34.511492,-83.534816,Single family,3.0,1.0,1170.0,1944.0
132606396,247 LAUREL PLACE DR,,Habersham,131370006031,34.508037,-83.600488,Single family,3.0,3.0,2064.0,2003.0
84340971,383 HIDDEN MEADOWS LN,,Habersham,131370004004,34.584572,-83.46402,Single family,3.0,2.0,2137.0,2014.0
96197757,1047 JIM THOMAS RD,,Habersham,131370002012,34.607638,-83.607937,Single family,3.0,2.0,1724.0,1978.0
92772575,357 OAK SPRINGS RD,,Habersham,131370002041,34.618396,-83.547065,Single family,3.0,2.0,1300.0,1987.0
83579660,154 CHASE CIR,,Habersham,131370005011,34.538704,-83.52965,Single family,3.0,2.0,1102.0,1978.0
76539520,155 DIAMOND DR,,Habersham,131370002034,34.636474,-83.518478,Single family,3.0,1.0,1200.0,1970.0
98200934,2262 CANNON BRIDGE RD,,Habersham,131370006032,34.559028,-83.576414,Single family,2.0,1.0,1028.0,1952.0
93374928,410 DEER TRAIL LAKES DR,,Habersham,131370002032,34.700025,-83.547373,Single family,3.0,3.0,2514.0,1997.0
68008666,484 BALLEW RD,Raoul CDP,Habersham,131370006014,34.459988,-83.60286,Single family,3.0,1.0,1200.0,1950.0
176939344,2276 J WARREN RD,,Habersham,131370005011,34.531386,-83.549132,Single family,6.0,4.0,2311.0,1999.0
110678082,155 YORK ST,Clarkesville City,Habersham,131370003003,34.610559,-83.524343,Single family,3.0,4.0,2181.0,2008.0
68023528,1191 YONAH POST RD,,Habersham,131370006013,34.453656,-83.628405,Single family,4.0,3.0,2413.0,1987.0
109231978,151 HAYWOOD HILLS RD,,Habersham,131370002011,34.608121,-83.573746,Single family,3.0,2.0,1969.0,1998.0
167133341,2183 GAINESVILLE HWY,Raoul CDP,Habersham,131370006011,34.451422,-83.591567,Single family,1.0,1.0,552.0,1945.0
92856550,125 BIG SKY VLY,,Habersham,131370002011,34.570508,-83.610588,Single family,3.0,2.0,1894.0,2003.0
84733571,320 MAINE ST,Demorest City,Habersham,131370005023,34.566027,-83.53398,Single family,3.0,1.5,1909.0,1932.0
98998069,357 SAGE ST,,Habersham,131370005021,34.571852,-83.508969,Single family,3.0,2.0,2394.0,1997.0
84036632,341 VALLEY DR,,Habersham,131370005011,34.532775,-83.518864,Single family,3.0,2.0,1499.0,1971.0
65488541,300 BECK RD,,Habersham,131370004004,34.544965,-83.476286,Single family,4.0,3.0,1424.0,1978.0
128735814,225 VICTORIAN TER,,Habersham,131370002034,34.668333,-83.513275,Single family,5.0,5.0,4409.0,2005.0
65095477,185 SPRINGBROOK DR,,Habersham,131370005023,34.543919,-83.554833,Single family,3.0,3.0,2084.0,2000.0
84230222,748 HARVEST CHURCH RD,,Habersham,131370002041,34.638032,-83.600413,Single family,2.0,1.0,1152.0,1981.0
80071125,543 WILDWOOD CIR,Clarkesville City,Habersham,131370003003,34.610202,-83.526557,Single family,3.0,3.0,1505.0,1964.0
86658715,990 KELLER RD,Mount Airy Town,Habersham,131370004001,34.523418,-83.502406,Single family,3.0,2.0,1544.0,1972.0
85985008,141 HICKORY AVE,Demorest City,Habersham,131370005023,34.558127,-83.547177,Single family,3.0,2.0,1304.0,1994.0
180072437,139 DEE CEE DR,,Habersham,131370001002,34.704492,-83.433739,Single family,3.0,2.0,1656.0,2006.0
177310832,1200 COL HOUGH RD,,Habersham,131370001002,34.711958,-83.430466,Single family,1.0,1.0,1024.0,2018.0
77427440,133 EASTHAM HLS,,Habersham,131370001003,34.622518,-83.432919,Single family,3.0,3.0,2191.0,1997.0
88573411,3408 HISTORIC OLD HIGHWAY 441,,Habersham,131370001002,34.689423,-83.42627,Single family,2.0,1.0,1184.0,1918.0
71876342,445 JOE SMITH RD,,Habersham,131370001001,34.607696,-83.422657,Single family,2.0,2.0,1040.0,1999.0
78574992,1096 DEMOREST MOUNT AIRY HWY,,Habersham,131370004001,34.539472,-83.503571,Single family,2.0,2.0,1664.0,1955.0
70938726,315 BLUE RIDGE ST,Raoul CDP,Habersham,131370006014,34.442933,-83.61294,Single family,3.0,1.0,1225.0,1971.0
70920503,131 SHAMROCK CT,,Habersham,131370004004,34.551398,-83.463336,Single family,3.0,2.0,1666.0,2003.0
71165427,967 HILTON ENGLISH RD,,Habersham,131370002012,34.588019,-83.635961,Single family,3.0,3.0,1935.0,1990.0
77650635,202 ETTA ST,Cornelia City,Habersham,131370006044,34.517269,-83.530698,Single family,3.0,2.0,1609.0,1950.0
70995108,196 SOSEBEE LN,Demorest City,Habersham,131370005022,34.564614,-83.546385,Single family,6.0,2.0,3395.0,1927.0
79048245,915 CIDER RDG,,Habersham,131370001002,34.706648,-83.442562,Single family,3.0,3.0,2526.0,1996.0
102625446,244 ELBERTA ST,,Habersham,131370005011,34.522646,-83.530777,Single family,2.0,1.0,780.0,1950.0
86333380,1862 CANNON BRIDGE RD,,Habersham,131370006032,34.554358,-83.573586,Single family,2.0,1.0,1206.0,1961.0
72753752,295 ERWIN RD,,Habersham,131370006032,34.520381,-83.58016,Single family,2.0,1.0,960.0,1998.0
114606792,776 KENNEDY MOUNTAIN RD,,Habersham,131370002031,34.778905,-83.615176,Single family,2.0,2.0,2000.0,1990.0
98614651,359 LAKEWOOD COVE DR,,Habersham,131370003001,34.589056,-83.516171,Single family,3.0,2.0,2036.0,2006.0
88950153,1530 DEMOREST MOUNT AIRY HWY,,Habersham,131370005021,34.544941,-83.508236,Single family,3.0,2.0,1640.0,1976.0
89432405,550 ALSTON TER,Cornelia City,Habersham,131370006041,34.507837,-83.551189,Single family,3.0,3.0,2219.0,2002.0
67297697,150 EDGEWOOD DR,,Habersham,131370005021,34.548369,-83.509961,Single family,3.0,2.0,1160.0,1974.0
88939187,4474 HIGHWAY 115,,Habersham,131370002011,34.605957,-83.569688,Single family,3.0,2.0,1588.0,1966.0
88801960,677 ANSLEY RD,,Habersham,131370005021,34.57005,-83.496893,Single family,3.0,2.0,1800.0,1971.0
100344420,504 JONATHAN PL,,Habersham,131370001002,34.704492,-83.451754,Single family,3.0,3.0,1882.0,2000.0
89278708,551 CHURCH SAWMILL RD,,Habersham,131370005021,34.585504,-83.529445,Single family,2.0,1.0,981.0,1927.0
67395855,123 NORTH ST,Clarkesville City,Habersham,131370003002,34.61105,-83.51849,Single family,4.0,4.0,2561.0,1958.0
71930833,304 CHERRY CIR,,Habersham,131370006032,34.506202,-83.581532,Single family,3.0,2.0,1573.0,1994.0
76811923,148 JAY BIRD TRL,,Habersham,131370006013,34.478286,-83.628031,Single family,0.0,0.0,,
66483458,215 THORNBRIAR WAY,,Habersham,131370004001,34.536178,-83.493601,Single family,4.0,3.0,2100.0,1992.0
131702274,119 POPLAR CREEK TRL,,Habersham,131370002011,34.609732,-83.580158,Single family,3.0,0.0,804.0,1974.0
66642628,1355 DEMOREST MOUNT AIRY HWY,,Habersham,131370004001,34.543186,-83.505325,Single family,4.0,3.0,2862.0,2003.0
66575646,223 EDWARDS RD,,Habersham,131370003003,34.591915,-83.536803,Single family,3.0,1.0,1624.0,1958.0
82796935,288 HIDDEN MEADOWS LN,,Habersham,131370004004,34.58645,-83.461122,Single family,3.0,3.0,1882.0,2018.0
143856751,124 KENNEDY MOUNTAIN RD,,Habersham,131370002031,34.769636,-83.61517,Single family,2.0,1.0,720.0,1987.0
80858597,1884 HAZEL CREEK RD,,Habersham,131370004004,34.569028,-83.483765,Single family,3.0,2.0,3980.0,2001.0
85073821,349 GALLOWAY ST,Cornelia City,Habersham,131370006044,34.514283,-83.532455,Single family,2.0,1.0,1422.0,1948.0
86805546,261 STONEBROOK DR,,Habersham,131370005023,34.552646,-83.555028,Single family,3.0,2.0,1838.0,2003.0
86051715,508 WAUKA DR,Demorest City,Habersham,131370005022,34.562482,-83.553871,Single family,3.0,2.0,1478.0,2009.0
97969920,1370 DOUBLE SPRINGS RD,Demorest City,Habersham,131370005022,34.570526,-83.558203,Single family,5.0,3.0,2006.0,2003.0
64955433,745 CHIMNEY RISE RD,,Habersham,131370001001,34.599917,-83.420875,Single family,3.0,2.0,1120.0,2000.0
74485998,122 GLORY LN,,Habersham,131370004004,34.560102,-83.466682,Single family,3.0,2.0,1312.0,1996.0
73923610,204 EAGLES NEST DR,,Habersham,131370002041,34.617629,-83.566369,Single family,3.0,3.0,3408.0,1998.0
90269104,165 KINGS BRIDGE WAY RD,,Habersham,131370002034,34.682964,-83.515389,Single family,4.0,2.0,1760.0,1979.0
89485925,160 DUCHESS LN,,Habersham,131370001002,34.707196,-83.457163,Single family,4.0,4.0,3257.0,2003.0
74114450,212 BLUE CREEK RD,,Habersham,131370002012,34.630376,-83.624127,Single family,1.0,2.0,2988.0,1920.0
67971425,466 S COBB RD,,Habersham,131370001001,34.600499,-83.447234,Single family,2.0,2.0,1187.0,1976.0
75008986,219 DONALYN LN,Baldwin City,Habersham,131370006042,34.493732,-83.545039,Single family,3.0,2.0,1120.0,1980.0
147902224,1240 DANIEL RD,,Habersham,131370002011,34.612827,-83.573775,Single family,3.0,2.0,1552.0,1999.0
163634031,813 CHANDLER HEIGHTS CIR,Baldwin City,Habersham,131370006011,34.485231,-83.568632,Single family,3.0,2.0,1812.0,1996.0
152421601,682 CAMP YONAH RD,,Habersham,131370001003,34.655985,-83.4096,Single family,5.0,4.0,2922.0,2008.0
113135169,4061 HISTORIC OLD HIGHWAY 441,,Habersham,131370001002,34.696903,-83.422255,Single family,2.0,3.0,768.0,2019.0
94105182,463 FOXMORE COVE RD,,Habersham,131370001002,34.723958,-83.413594,Single family,2.0,2.0,1142.0,1989.0
163666107,253 SHADOW WALK DR,,Habersham,131370001001,34.586628,-83.422316,Single family,3.0,2.0,2386.0,2002.0
157198240,399 GRINDSTONE CREEK DR,,Habersham,131370001001,34.633132,-83.494304,Single family,4.0,4.0,2424.0,2004.0
70473277,1920 HIGHWAY 197,,Habersham,131370004004,34.554072,-83.48964,Single family,2.0,2.0,1846.0,1988.0
88474136,555 RIVER RUN TRL,,Habersham,131370006031,34.513575,-83.658487,Single family,3.0,4.0,1356.0,2020.0
67092317,480 SOUTHERN ESTATES DR,,Habersham,131370002012,34.625447,-83.611229,Single family,0.0,1.0,1200.0,2012.0
106723898,479 S MAIN ST,Cornelia City,Habersham,131370006043,34.503669,-83.52543,Single family,4.0,4.0,2543.0,1907.0
82579452,205 ELLIS ST,Cornelia City,Habersham,131370006043,34.508846,-83.526617,Single family,4.0,3.0,3378.0,1912.0
82689683,448 HUNTINGTON LN,,Habersham,131370005023,34.530358,-83.557427,Single family,4.0,3.0,2122.0,2019.0
171436118,277 LITTLE CHANDLER PL,Baldwin City,Habersham,131370006011,34.482287,-83.569591,Single family,4.0,3.0,3549.0,1992.0
170327950,345 SUNDEW LN,Mount Airy Town,Habersham,131370004003,34.532756,-83.477432,Single family,3.0,2.0,1290.0,2006.0
73702878,323 HILLANDALE ST,,Habersham,131370005012,34.526237,-83.517516,Single family,3.0,2.0,2729.0,1975.0
139545493,141 ROSECLIFF DR,,Habersham,131370005011,34.534466,-83.518542,Single family,3.0,3.5,1812.0,2006.0
154933644,143 WINDROSE MEADOW LN,,Habersham,131370003001,34.598243,-83.513473,Single family,3.0,3.0,2422.0,1997.0
82557991,3293 ALEC MOUNTAIN RD,,Habersham,131370002041,34.6507,-83.576337,Single family,4.0,2.0,1200.0,1950.0
160155053,112 OLD STAGE COACH RD,,Habersham,131370001002,34.708983,-83.438324,Single family,2.0,0.0,1407.0,1990.0
175747391,331 SUNDEW LN,Mount Airy Town,Habersham,131370004003,34.532483,-83.477241,Single family,3.0,2.0,1650.0,2006.0
179052246,1634 HIGHWAY 197,,Habersham,131370004004,34.549602,-83.488825,Single family,1.0,1.0,1200.0,2014.0
92621549,155 GALLOWAY ST,Cornelia City,Habersham,131370006044,34.513423,-83.535858,Single family,4.0,1.0,1325.0,1950.0
137300952,1207 SUTTON MILL RD,,Habersham,131370002034,34.642429,-83.531582,Single family,3.0,2.0,2481.0,1953.0
96553679,134 RUDESEAL RD,,Habersham,131370004004,34.569645,-83.478856,Single family,3.0,1.0,1308.0,1967.0
162616757,138 PARDUE MILL RD,,Habersham,131370002011,34.597481,-83.591021,Single family,2.0,1.0,964.0,1957.0
96390116,158 LAKEVIEW DR,Cornelia City,Habersham,131370005012,34.522846,-83.525929,Single family,3.0,2.0,1175.0,1976.0
88707708,560 LONG ST,,Habersham,131370005023,34.5588,-83.533592,Single family,3.0,2.0,1768.0,1968.0
95388964,1880 CHASE RD,,Habersham,131370005011,34.537639,-83.51599,Single family,3.0,2.0,1392.0,1966.0
153683668,177 KENSINGTON CT,,Habersham,131370004004,34.549152,-83.467058,Single family,3.0,2.0,1285.0,2004.0
124443884,220 SEVENTH ST,Mount Airy Town,Habersham,131370004002,34.518223,-83.499188,Single family,3.0,1.0,1640.0,1977.0
160447561,217 ROCK CREST TER,Raoul CDP,Habersham,131370006014,34.451163,-83.599359,Single family,3.0,2.0,1326.0,2004.0
82279144,188 TIMBERLINE DR,,Habersham,131370005022,34.554075,-83.571183,Single family,3.0,2.0,1413.0,1985.0
153207575,350 EDEN WOODS,,Habersham,131370003003,34.592748,-83.531108,Single family,3.0,2.0,1368.0,1999.0
170090166,222 PRIMROSE LN,,Habersham,131370005021,34.591867,-83.528048,Single family,3.0,1.0,1288.0,1954.0
180830854,595 HAWTHORNE DR,,Habersham,131370002012,34.657758,-83.656968,Single family,4.0,3.0,1750.0,2002.0
84973050,1252 BLAIR RD,,Habersham,131370004003,34.540172,-83.474036,Single family,3.0,2.0,1537.0,1988.0
81864280,456 RED HAWK LN,,Habersham,131370006011,34.494673,-83.57366,Single family,5.0,3.0,1896.0,1996.0
